Item,Condition,Semantic_Score,Info_Score,Mean_Visual_Error
76,b,4.8695652173913,5.39130434782609,6.43478260869565
96,c,2.04166666666667,1.95833333333333,5.375
13,c,1.96551724137931,2.0,6.0
123,b,5.59090909090909,6.09090909090909,6.36363636363636
137,a,6.82608695652174,3.8695652173913,6.91304347826087
78,a,6.40909090909091,3.22727272727273,6.81818181818182
39,a,6.91666666666667,2.875,6.91666666666667
74,c,2.0,2.54545454545455,6.40909090909091
46,b,4.22727272727273,4.86363636363636,6.72727272727273
80,b,6.36666666666667,6.23333333333333,6.93333333333333
36,b,6.17391304347826,6.0,6.1304347826087
3,b,6.83333333333333,6.5,6.95833333333333
59,b,6.06896551724138,5.51724137931035,6.6551724137931
5,c,1.24,1.32,5.68
29,b,6.24,6.12,6.6
27,a,6.83333333333333,2.96666666666667,6.9
12,a,5.52380952380952,2.76190476190476,6.61904761904762
145,b,6.79166666666667,6.08333333333333,6.66666666666667
21,c,1.26666666666667,1.3,5.53333333333333
143,b,6.66666666666667,6.875,6.95833333333333
14,c,1.19047619047619,1.14285714285714,5.95238095238095
137,c,1.62068965517241,1.3448275862069,6.72413793103448
147,b,6.2,6.16,5.44
20,a,5.85714285714286,2.9047619047619,5.57142857142857
36,c,2.0,1.96,6.8
7,c,1.20689655172414,1.3448275862069,6.24137931034483
122,b,6.36363636363636,6.77272727272727,6.45454545454545
38,a,6.84,2.44,6.64
141,b,6.8695652173913,6.8695652173913,6.69565217391304
116,b,6.36666666666667,6.56666666666667,6.73333333333333
43,b,6.91666666666667,6.41666666666667,6.95833333333333
10,c,1.72727272727273,1.86363636363636,5.81818181818182
101,a,6.66666666666667,3.6,6.96666666666667
76,a,5.45454545454545,2.09090909090909,5.68181818181818
121,a,6.12,2.56,6.8
18,a,7.0,2.52,7.0
46,c,1.66666666666667,1.93333333333333,5.93333333333333
146,b,6.06666666666667,5.63333333333333,6.7
41,a,6.66666666666667,2.58333333333333,6.66666666666667
24,a,6.60869565217391,3.1304347826087,6.73913043478261
120,c,1.04545454545455,1.18181818181818,6.27272727272727
3,c,1.0952380952381,1.0,5.80952380952381
98,c,1.39130434782609,1.26086956521739,5.95652173913043
23,c,1.48,1.44,4.36
142,c,1.76190476190476,1.57142857142857,6.0
39,b,5.95238095238095,6.0,6.85714285714286
112,a,6.72413793103448,2.79310344827586,6.89655172413793
77,b,5.76666666666667,5.76666666666667,6.8
12,c,1.13636363636364,1.59090909090909,6.0
109,c,1.81818181818182,1.77272727272727,5.54545454545455
15,b,4.27272727272727,4.63636363636364,5.95454545454545
96,b,5.89655172413793,6.24137931034483,6.82758620689655
7,b,6.52,6.56,6.88
64,b,6.08695652173913,6.0,6.91304347826087
4,b,5.73913043478261,5.21739130434783,6.8695652173913
77,a,6.77272727272727,4.09090909090909,6.59090909090909
95,a,6.47619047619048,3.19047619047619,6.71428571428571
117,b,4.48275862068965,5.58620689655172,6.13793103448276
57,a,5.63636363636364,3.31818181818182,6.68181818181818
118,a,6.33333333333333,3.28571428571429,6.76190476190476
127,b,4.16,4.56,6.76
108,a,6.90476190476191,3.57142857142857,6.95238095238095
149,b,4.0,4.18181818181818,6.63636363636364
31,a,5.66666666666667,2.5,6.41666666666667
24,c,1.04347826086957,1.1304347826087,6.65217391304348
11,a,6.96,2.4,6.76
69,b,6.0,6.1304347826087,6.65217391304348
25,b,5.79310344827586,5.79310344827586,6.75862068965517
26,c,1.52380952380952,1.42857142857143,5.76190476190476
124,a,6.36363636363636,2.54545454545455,6.90909090909091
